Sat Mar 26 17:14:11 2022    code_analysis/output.dat

         148516617 function calls (148402911 primitive calls) in 763.523 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      471    0.000    0.000    0.003    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1167(copy)
      471    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
      468    0.000    0.000    0.000    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2153(__str__)
      466    0.006    0.000    0.008    0.000 C:\Users\Adam\anaconda3\lib\ntpath.py:61(isabs)
      452    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      452    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      447    0.000    0.000    0.000    0.000 C:\Users\Adam\anaconda3\lib\posixpath.py:41(_get_sep)
      447    0.001    0.000    0.001    0.000 C:\Users\Adam\anaconda3\lib\posixpath.py:60(isabs)
      447    0.001    0.000    0.016    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\__init__.py:1472(_fn)
      447    0.003    0.000    0.012    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\__init__.py:1478(_validate_resource_path)
      445    0.000    0.000    0.017    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\__init__.py:1393(_get_metadata_path)
      432    0.000    0.000    0.000    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\__init__.py:2593(_reload_version)
      430    0.001    0.000    0.003    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\__init__.py:2385(yield_lines)
      416    0.000    0.000    0.000    0.000 C:\Users\Adam\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:194(_reshape_dispatcher)
      416    0.000    0.000    0.002    0.000 C:\Users\Adam\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:199(reshape)
      416    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(reshape)
      416    0.001    0.000    0.001    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      407    0.000    0.000    0.000    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3581(<genexpr>)
      395    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      347    0.001    0.000    0.046    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\__init__.py:1396(has_metadata)
      345    0.001    0.000    0.029    0.000 C:\Users\Adam\anaconda3\lib\genericpath.py:16(exists)
      345    0.000    0.000    0.029    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\__init__.py:1598(_has)
      339    0.000    0.000    0.000    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2159(streamline)
      335    0.001    0.000    0.001    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1144(__init__)
      306    0.000    0.000    0.000    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\__init__.py:2551(is_version_line)
